longitude,latitude,altitude,wind_speed,u_velocity,v_velocity
73.000,35.000,0.0,3.85,-0.08,-3.84
73.300,35.000,0.0,3.74,0.46,-3.71
73.600,35.000,0.0,3.98,-0.88,-3.89
73.900,35.000,0.0,4.54,0.63,-4.49
74.200,35.000,0.0,4.59,1.10,-4.46
74.500,35.000,0.0,4.77,1.31,-4.59
74.800,35.000,0.0,4.57,-1.43,-4.34
75.100,35.000,0.0,5.33,-1.22,-5.19
75.400,35.000,0.0,4.86,-1.64,-4.58
75.700,35.000,0.0,4.17,-1.07,-4.03
76.000,35.000,0.0,4.57,-1.48,-4.33
76.300,35.000,0.0,4.38,-0.40,-4.36
76.600,35.000,0.0,4.84,-0.35,-4.82
76.900,35.000,0.0,5.45,0.48,-5.43
77.200,35.000,0.0,4.58,-0.09,-4.57
77.500,35.000,0.0,5.20,-0.60,-5.16
77.800,35.000,0.0,4.72,-0.52,-4.69
78.100,35.000,0.0,5.05,-0.24,-5.04
78.400,35.000,0.0,5.17,1.28,-5.01
78.700,35.000,0.0,5.13,-1.38,-4.94
79.000,35.000,0.0,5.66,-2.47,-5.09
79.300,35.000,0.0,4.76,0.04,-4.76
79.600,35.000,0.0,3.21,-0.32,-3.19
79.900,35.000,0.0,3.06,-0.21,-3.05
80.200,35.000,0.0,3.44,-0.32,-3.42
80.500,35.000,0.0,3.39,-0.46,-3.36
80.800,35.000,0.0,2.63,-0.39,-2.60
81.100,35.000,0.0,2.93,-0.66,-2.85
81.400,35.000,0.0,3.20,0.39,-3.17
81.700,35.000,0.0,3.49,-0.52,-3.45
82.000,35.000,0.0,2.97,-0.21,-2.97
82.300,35.000,0.0,2.94,-1.02,-2.76
82.600,35.000,0.0,2.54,-0.48,-2.49
82.900,35.000,0.0,2.75,-0.97,-2.57
83.200,35.000,0.0,3.24,1.43,-2.91
83.500,35.000,0.0,3.34,0.62,-3.28
83.800,35.000,0.0,3.33,-0.57,-3.28
84.100,35.000,0.0,2.90,-0.84,-2.77
84.400,35.000,0.0,2.59,-1.17,-2.32
84.700,35.000,0.0,2.96,1.33,-2.64
85.000,35.000,0.0,2.52,-0.02,-2.52
85.300,35.000,0.0,3.41,0.66,-3.34
85.600,35.000,0.0,3.01,-0.96,-2.85
85.900,35.000,0.0,2.81,0.70,-2.72
86.200,35.000,0.0,2.66,-0.51,-2.61
86.500,35.000,0.0,2.89,1.13,-2.66
86.800,35.000,0.0,3.16,1.32,-2.87
87.100,35.000,0.0,3.32,-0.82,-3.22
87.400,35.000,0.0,2.56,0.72,-2.46
87.700,35.000,0.0,2.81,1.29,-2.50
88.000,35.000,0.0,2.51,-0.79,-2.38
88.300,35.000,0.0,3.13,-0.55,-3.08
88.600,35.000,0.0,5.55,-0.16,-5.55
88.900,35.000,0.0,4.98,-0.15,-4.97
89.200,35.000,0.0,4.51,1.67,-4.19
89.500,35.000,0.0,5.38,-1.45,-5.18
89.800,35.000,0.0,4.41,-1.06,-4.28
90.100,35.000,0.0,4.42,-1.95,-3.97
90.400,35.000,0.0,5.77,-0.95,-5.69
90.700,35.000,0.0,5.88,-0.17,-5.88
91.000,35.000,0.0,5.32,2.34,-4.77
91.300,35.000,0.0,5.81,1.84,-5.51
91.600,35.000,0.0,4.27,-1.39,-4.03
91.900,35.000,0.0,4.45,1.76,-4.09
92.200,35.000,0.0,5.57,-1.78,-5.28
92.500,35.000,0.0,5.31,-1.24,-5.16
92.800,35.000,0.0,4.10,0.92,-3.99
93.100,35.000,0.0,3.97,-1.90,-3.49
93.400,35.000,0.0,5.78,-0.59,-5.75
93.700,35.000,0.0,5.17,-1.04,-5.07
94.000,35.000,0.0,4.76,0.07,-4.76
94.300,35.000,0.0,4.64,2.31,-4.02
94.600,35.000,0.0,3.78,0.42,-3.75
94.900,35.000,0.0,4.19,2.09,-3.64
95.200,35.000,0.0,5.13,1.46,-4.92
95.500,35.000,0.0,3.99,0.37,-3.97
95.800,35.000,0.0,4.07,1.84,-3.63
96.100,35.000,0.0,3.77,1.82,-3.31
96.400,35.000,0.0,4.87,0.29,-4.86
96.700,35.000,0.0,4.25,1.28,-4.06
73.000,35.300,0.0,3.96,-0.92,-3.85
73.300,35.300,0.0,4.01,0.80,-3.93
73.600,35.300,0.0,3.65,-0.31,-3.64
73.900,35.300,0.0,4.54,2.09,-4.03
74.200,35.300,0.0,3.94,1.29,-3.72
74.500,35.300,0.0,4.08,-1.95,-3.59
74.800,35.300,0.0,4.54,0.87,-4.46
75.100,35.300,0.0,5.55,-1.90,-5.22
75.400,35.300,0.0,5.01,-0.49,-4.99
75.700,35.300,0.0,5.66,-0.48,-5.64
76.000,35.300,0.0,4.24,-0.65,-4.19
76.300,35.300,0.0,4.87,-1.10,-4.74
76.600,35.300,0.0,4.98,-2.18,-4.48
76.900,35.300,0.0,5.16,-0.74,-5.11
77.200,35.300,0.0,4.79,0.79,-4.72
77.500,35.300,0.0,4.26,-1.50,-3.99
77.800,35.300,0.0,4.52,1.86,-4.12
78.100,35.300,0.0,5.86,-1.12,-5.75
78.400,35.300,0.0,4.67,-1.93,-4.25
78.700,35.300,0.0,5.92,-2.62,-5.31
79.000,35.300,0.0,5.21,-0.58,-5.18
79.300,35.300,0.0,3.42,0.72,-3.34
79.600,35.300,0.0,3.50,1.03,-3.34
79.900,35.300,0.0,2.96,-0.12,-2.96
80.200,35.300,0.0,2.82,-0.01,-2.82
80.500,35.300,0.0,2.97,-0.42,-2.94
80.800,35.300,0.0,2.89,0.47,-2.86
81.100,35.300,0.0,3.34,-0.01,-3.34
81.400,35.300,0.0,2.70,-0.11,-2.70
81.700,35.300,0.0,3.20,-0.29,-3.19
82.000,35.300,0.0,2.75,0.46,-2.71
82.300,35.300,0.0,3.10,-0.40,-3.07
82.600,35.300,0.0,3.02,-0.21,-3.01
82.900,35.300,0.0,3.21,1.13,-3.00
83.200,35.300,0.0,3.33,0.78,-3.24
83.500,35.300,0.0,2.99,1.20,-2.74
83.800,35.300,0.0,2.98,-0.51,-2.94
84.100,35.300,0.0,2.55,0.76,-2.43
84.400,35.300,0.0,2.84,-0.32,-2.82
84.700,35.300,0.0,3.18,-0.07,-3.17
85.000,35.300,0.0,2.67,0.78,-2.56
85.300,35.300,0.0,2.75,0.36,-2.73
85.600,35.300,0.0,2.60,-0.56,-2.54
85.900,35.300,0.0,3.12,-1.41,-2.78
86.200,35.300,0.0,2.61,0.51,-2.56
86.500,35.300,0.0,3.14,-1.09,-2.95
86.800,35.300,0.0,2.89,1.30,-2.58
87.100,35.300,0.0,3.11,-0.43,-3.08
87.400,35.300,0.0,2.98,-0.74,-2.89
87.700,35.300,0.0,3.46,0.22,-3.45
88.000,35.300,0.0,3.30,-0.85,-3.19
88.300,35.300,0.0,2.60,-0.16,-2.59
88.600,35.300,0.0,3.41,-0.23,-3.40
88.900,35.300,0.0,5.96,2.67,-5.33
89.200,35.300,0.0,4.60,1.10,-4.47
89.500,35.300,0.0,4.92,1.49,-4.69
89.800,35.300,0.0,4.36,1.99,-3.88
90.100,35.300,0.0,4.79,0.85,-4.72
90.400,35.300,0.0,5.96,2.59,-5.37
90.700,35.300,0.0,5.12,1.66,-4.84
91.000,35.300,0.0,4.13,-0.70,-4.06
91.300,35.300,0.0,5.18,0.41,-5.16
91.600,35.300,0.0,4.53,-0.96,-4.43
91.900,35.300,0.0,5.16,1.34,-4.98
92.200,35.300,0.0,3.98,1.46,-3.70
92.500,35.300,0.0,5.76,-2.42,-5.23
92.800,35.300,0.0,4.57,0.88,-4.48
93.100,35.300,0.0,5.66,0.89,-5.59
93.400,35.300,0.0,4.40,-0.07,-4.40
93.700,35.300,0.0,4.16,-0.39,-4.15
94.000,35.300,0.0,5.52,1.98,-5.15
94.300,35.300,0.0,4.12,-1.76,-3.72
94.600,35.300,0.0,4.77,-1.96,-4.35
94.900,35.300,0.0,5.38,-2.45,-4.79
95.200,35.300,0.0,4.72,0.67,-4.68
95.500,35.300,0.0,5.08,-1.90,-4.71
95.800,35.300,0.0,5.11,-1.76,-4.79
96.100,35.300,0.0,4.50,2.02,-4.02
96.400,35.300,0.0,4.28,-0.41,-4.26
96.700,35.300,0.0,3.93,-1.90,-3.45
73.000,35.600,0.0,4.19,1.89,-3.74
73.300,35.600,0.0,5.15,-0.78,-5.09
73.600,35.600,0.0,4.95,0.51,-4.93
73.900,35.600,0.0,3.73,1.30,-3.50
74.200,35.600,0.0,4.19,-1.26,-4.00
74.500,35.600,0.0,3.90,-1.21,-3.71
74.800,35.600,0.0,5.71,-2.10,-5.31
75.100,35.600,0.0,5.35,1.48,-5.15
75.400,35.600,0.0,4.62,-1.00,-4.51
75.700,35.600,0.0,5.63,1.02,-5.54
76.000,35.600,0.0,5.27,1.82,-4.94
76.300,35.600,0.0,5.13,-2.33,-4.57
76.600,35.600,0.0,4.77,-0.97,-4.67
76.900,35.600,0.0,5.72,2.66,-5.06
77.200,35.600,0.0,4.42,-0.06,-4.42
77.500,35.600,0.0,4.48,-1.85,-4.08
77.800,35.600,0.0,4.00,0.38,-3.98
78.100,35.600,0.0,4.83,-2.19,-4.31
78.400,35.600,0.0,4.65,1.55,-4.38
78.700,35.600,0.0,5.95,-0.32,-5.95
79.000,35.600,0.0,5.27,-1.27,-5.12
79.300,35.600,0.0,3.44,-0.41,-3.41
79.600,35.600,0.0,3.01,0.73,-2.92
79.900,35.600,0.0,3.46,1.23,-3.23
80.200,35.600,0.0,3.08,-1.22,-2.83
80.500,35.600,0.0,3.46,1.67,-3.04
80.800,35.600,0.0,3.16,-0.59,-3.10
81.100,35.600,0.0,2.85,-0.52,-2.80
81.400,35.600,0.0,2.68,-0.44,-2.64
81.700,35.600,0.0,3.30,-1.40,-2.99
82.000,35.600,0.0,3.42,0.73,-3.34
82.300,35.600,0.0,3.40,0.55,-3.36
82.600,35.600,0.0,3.47,-0.22,-3.47
82.900,35.600,0.0,3.15,-0.24,-3.14
83.200,35.600,0.0,2.56,0.19,-2.55
83.500,35.600,0.0,2.96,-0.58,-2.90
83.800,35.600,0.0,3.27,1.27,-3.01
84.100,35.600,0.0,3.02,-0.83,-2.90
84.400,35.600,0.0,2.79,-0.34,-2.77
84.700,35.600,0.0,2.52,-0.32,-2.50
85.000,35.600,0.0,2.54,0.73,-2.43
85.300,35.600,0.0,3.29,0.37,-3.27
85.600,35.600,0.0,2.83,0.40,-2.80
85.900,35.600,0.0,2.89,1.30,-2.58
86.200,35.600,0.0,2.51,-0.37,-2.48
86.500,35.600,0.0,2.86,0.03,-2.86
86.800,35.600,0.0,3.46,1.63,-3.05
87.100,35.600,0.0,3.47,-0.24,-3.46
87.400,35.600,0.0,3.05,0.56,-3.00
87.700,35.600,0.0,3.20,0.92,-3.07
88.000,35.600,0.0,3.42,0.68,-3.36
88.300,35.600,0.0,3.47,0.71,-3.40
88.600,35.600,0.0,2.69,0.94,-2.52
88.900,35.600,0.0,3.16,1.04,-2.99
89.200,35.600,0.0,4.75,0.41,-4.73
89.500,35.600,0.0,5.72,-2.28,-5.25
89.800,35.600,0.0,4.75,1.12,-4.62
90.100,35.600,0.0,5.91,2.38,-5.41
90.400,35.600,0.0,5.37,1.14,-5.25
90.700,35.600,0.0,4.79,2.12,-4.30
91.000,35.600,0.0,5.64,0.41,-5.62
91.300,35.600,0.0,5.39,-0.50,-5.36
91.600,35.600,0.0,5.17,-0.72,-5.12
91.900,35.600,0.0,5.61,2.01,-5.24
92.200,35.600,0.0,4.58,-1.68,-4.26
92.500,35.600,0.0,4.31,-1.65,-3.98
92.800,35.600,0.0,4.62,-1.91,-4.20
93.100,35.600,0.0,5.85,-0.10,-5.85
93.400,35.600,0.0,5.78,1.68,-5.53
93.700,35.600,0.0,4.84,0.61,-4.80
94.000,35.600,0.0,4.41,-0.08,-4.41
94.300,35.600,0.0,5.47,2.56,-4.83
94.600,35.600,0.0,4.12,1.24,-3.93
94.900,35.600,0.0,4.41,1.83,-4.01
95.200,35.600,0.0,5.47,0.17,-5.47
95.500,35.600,0.0,4.59,-1.10,-4.45
95.800,35.600,0.0,5.18,-2.43,-4.58
96.100,35.600,0.0,3.82,-0.38,-3.81
96.400,35.600,0.0,5.22,-1.32,-5.05
96.700,35.600,0.0,4.46,-0.70,-4.41
73.000,35.900,0.0,3.63,0.76,-3.55
73.300,35.900,0.0,5.49,1.87,-5.16
73.600,35.900,0.0,4.97,0.85,-4.89
73.900,35.900,0.0,5.37,-2.19,-4.91
74.200,35.900,0.0,5.24,1.68,-4.96
74.500,35.900,0.0,3.99,1.08,-3.84
74.800,35.900,0.0,4.48,1.49,-4.23
75.100,35.900,0.0,5.77,-1.99,-5.42
75.400,35.900,0.0,4.73,0.82,-4.66
75.700,35.900,0.0,4.70,-2.23,-4.14
76.000,35.900,0.0,4.81,-2.03,-4.36
76.300,35.900,0.0,5.68,-2.24,-5.22
76.600,35.900,0.0,4.46,-1.39,-4.24
76.900,35.900,0.0,4.01,-0.39,-3.99
77.200,35.900,0.0,5.02,-2.48,-4.37
77.500,35.900,0.0,5.20,1.94,-4.82
77.800,35.900,0.0,5.08,-1.20,-4.94
78.100,35.900,0.0,4.95,1.02,-4.85
78.400,35.900,0.0,5.66,0.41,-5.64
78.700,35.900,0.0,5.53,-1.70,-5.26
79.000,35.900,0.0,2.54,0.51,-2.48
79.300,35.900,0.0,2.71,0.40,-2.68
79.600,35.900,0.0,3.20,-0.03,-3.20
79.900,35.900,0.0,2.95,0.93,-2.80
80.200,35.900,0.0,2.53,1.02,-2.32
80.500,35.900,0.0,3.29,0.15,-3.28
80.800,35.900,0.0,2.66,-0.53,-2.61
81.100,35.900,0.0,2.81,0.01,-2.81
81.400,35.900,0.0,3.01,0.29,-2.99
81.700,35.900,0.0,2.55,-0.94,-2.37
82.000,35.900,0.0,2.99,0.91,-2.85
82.300,35.900,0.0,3.25,-1.39,-2.93
82.600,35.900,0.0,3.42,0.94,-3.29
82.900,35.900,0.0,3.49,1.11,-3.31
83.200,35.900,0.0,3.33,1.04,-3.17
83.500,35.900,0.0,3.02,0.04,-3.02
83.800,35.900,0.0,2.91,0.95,-2.75
84.100,35.900,0.0,2.99,-0.06,-2.99
84.400,35.900,0.0,3.19,-0.54,-3.14
84.700,35.900,0.0,3.36,0.06,-3.36
85.000,35.900,0.0,3.07,-0.64,-3.00
85.300,35.900,0.0,3.12,0.36,-3.10
85.600,35.900,0.0,2.81,0.74,-2.71
85.900,35.900,0.0,3.14,1.39,-2.82
86.200,35.900,0.0,3.26,-1.33,-2.97
86.500,35.900,0.0,3.08,-1.28,-2.80
86.800,35.900,0.0,2.58,1.06,-2.35
87.100,35.900,0.0,3.26,0.24,-3.25
87.400,35.900,0.0,2.96,0.66,-2.89
87.700,35.900,0.0,3.41,1.53,-3.04
88.000,35.900,0.0,3.31,0.71,-3.24
88.300,35.900,0.0,2.73,-0.40,-2.70
88.600,35.900,0.0,3.30,0.17,-3.30
88.900,35.900,0.0,2.78,0.15,-2.78
89.200,35.900,0.0,4.72,-0.11,-4.72
89.500,35.900,0.0,5.42,-0.47,-5.40
89.800,35.900,0.0,5.90,1.92,-5.58
90.100,35.900,0.0,6.10,-2.44,-5.59
90.400,35.900,0.0,5.77,-1.34,-5.61
90.700,35.900,0.0,4.40,-0.93,-4.30
91.000,35.900,0.0,5.27,2.32,-4.73
91.300,35.900,0.0,5.82,2.26,-5.36
91.600,35.900,0.0,4.04,-0.27,-4.03
91.900,35.900,0.0,4.33,-2.04,-3.82
92.200,35.900,0.0,4.40,-1.37,-4.19
92.500,35.900,0.0,4.93,1.90,-4.54
92.800,35.900,0.0,4.34,-1.50,-4.07
93.100,35.900,0.0,4.19,0.38,-4.17
93.400,35.900,0.0,4.27,0.85,-4.18
93.700,35.900,0.0,5.39,-0.71,-5.35
94.000,35.900,0.0,4.22,0.43,-4.20
94.300,35.900,0.0,4.05,-1.51,-3.76
94.600,35.900,0.0,5.81,-1.80,-5.52
94.900,35.900,0.0,5.15,2.01,-4.74
95.200,35.900,0.0,4.05,1.72,-3.66
95.500,35.900,0.0,4.14,0.86,-4.05
95.800,35.900,0.0,4.85,0.30,-4.84
96.100,35.900,0.0,5.51,-1.98,-5.14
96.400,35.900,0.0,4.37,-0.39,-4.35
96.700,35.900,0.0,5.49,1.32,-5.33
73.000,36.200,0.0,4.98,1.29,-4.81
73.300,36.200,0.0,4.23,1.72,-3.86
73.600,36.200,0.0,4.70,1.79,-4.35
73.900,36.200,0.0,3.95,1.78,-3.52
74.200,36.200,0.0,5.32,0.19,-5.32
74.500,36.200,0.0,5.16,-2.43,-4.56
74.800,36.200,0.0,4.83,1.92,-4.43
75.100,36.200,0.0,4.69,2.06,-4.21
75.400,36.200,0.0,4.18,1.30,-3.97
75.700,36.200,0.0,4.87,0.60,-4.83
76.000,36.200,0.0,4.58,1.44,-4.35
76.300,36.200,0.0,5.21,-2.48,-4.59
76.600,36.200,0.0,5.42,1.88,-5.08
76.900,36.200,0.0,5.28,-0.03,-5.28
77.200,36.200,0.0,5.80,0.51,-5.77
77.500,36.200,0.0,4.24,0.91,-4.14
77.800,36.200,0.0,4.47,-0.21,-4.47
78.100,36.200,0.0,5.85,1.56,-5.63
78.400,36.200,0.0,4.69,1.08,-4.56
78.700,36.200,0.0,2.79,1.34,-2.44
79.000,36.200,0.0,3.48,0.67,-3.41
79.300,36.200,0.0,3.01,-0.44,-2.97
79.600,36.200,0.0,3.49,-1.28,-3.25
79.900,36.200,0.0,2.99,-0.94,-2.84
